InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536763,79321,CHILLI LIGHTS,24,12/2/2010 14:42,4.25,17685,United Kingdom
C569944,22362,GLASS JAR PEACOCK BATH SALTS,-3,10/6/2011 18:12,2.95,17405,United Kingdom
555275,21791,VINTAGE HEADS AND TAILS CARD GAME ,1,6/1/2011 17:18,2.46,NA,United Kingdom
537197,22199,FRYING PAN RED RETROSPOT,4,12/5/2010 14:02,4.25,12647,Germany
544920,37500,TEA TIME TEAPOT IN GIFT BOX,6,2/24/2011 16:31,9.95,13081,United Kingdom
550032,21090,SET/6 COLLAGE PAPER PLATES,24,4/14/2011 11:39,0.39,15139,United Kingdom
578950,23039,T-LIGHT HOLDER SILVER HEART HANDLE,6,11/27/2011 14:40,1.95,17885,United Kingdom
552232,22182,CAKE STAND VICTORIAN FILIGREE SMALL,3,5/6/2011 15:54,4.13,NA,United Kingdom
568716,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,1,9/28/2011 16:13,4.96,NA,United Kingdom
572726,22469,HEART OF WICKER SMALL,3,10/25/2011 15:19,1.65,16056,United Kingdom
581498,22654,DELUXE SEWING KIT ,2,12/9/2011 10:26,12.46,NA,United Kingdom
566008,82551,LAUNDRY 15C METAL SIGN,1,9/8/2011 12:04,1.45,16426,United Kingdom
580916,22510,GINGHAM BABUSHKA DOORSTOP,1,12/6/2011 13:45,0.79,13685,United Kingdom
542344,21068,VINTAGE BILLBOARD LOVE/HATE MUG,1,1/27/2011 11:30,2.46,NA,United Kingdom
564342,21213,PACK OF 72 SKULL CAKE CASES,1,8/24/2011 14:53,0.55,16340,United Kingdom
561910,21843,RED RETROSPOT CAKE STAND,6,8/1/2011 10:23,9.95,17053,United Kingdom
562460,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,1,8/5/2011 11:19,2.95,17841,United Kingdom
577740,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,20,11/21/2011 13:36,2.95,17625,United Kingdom
560991,23310,BUBBLEGUM RING ASSORTED,36,7/22/2011 13:29,0.42,12438,Norway
556970,23245,SET OF 3 REGENCY CAKE TINS,16,6/16/2011 10:18,4.15,13082,United Kingdom
556932,85032B,BLOSSOM IMAGES GIFT WRAP SET,1,6/15/2011 15:41,1.63,NA,United Kingdom
539741,22668,PINK BABY BUNTING,1,12/21/2010 15:20,5.91,NA,United Kingdom
551028,22505,MEMO BOARD COTTAGE DESIGN,4,4/26/2011 11:30,4.95,13842,United Kingdom
569236,22208,WOOD STAMP SET THANK YOU,1,10/2/2011 15:49,0.83,14432,United Kingdom
543053,21533,RETROSPOT LARGE MILK JUG,3,2/3/2011 10:26,4.95,17362,United Kingdom
570507,23433,HANGING QUILTED PATCHWORK APPLES,12,10/11/2011 9:53,0.83,16561,United Kingdom
547042,22625,RED KITCHEN SCALES,1,3/20/2011 11:00,8.5,NA,United Kingdom
556243,48138,DOORMAT UNION FLAG,1,6/9/2011 16:07,15.79,NA,United Kingdom
550302,21155,RED RETROSPOT PEG BAG,6,4/17/2011 10:17,2.55,14156,EIRE
571441,22908,PACK OF 20 NAPKINS RED APPLES,12,10/17/2011 13:31,1.63,14096,United Kingdom
555111,22219,LOVEBIRD HANGING DECORATION WHITE ,12,5/31/2011 14:37,0.85,16434,United Kingdom
537707,22988,SOLDIERS EGG CUP ,12,12/8/2010 10:53,1.25,14032,United Kingdom
579777,23085,ANTIQUE SILVER BAUBLE LAMP  ,2,11/30/2011 15:13,20.79,NA,United Kingdom
567679,21900,"KEY FOB , SHED",2,9/21/2011 16:15,0.65,14606,United Kingdom
576463,22092,BLUE PAISLEY TISSUE BOX,1,11/15/2011 11:37,0.39,17974,United Kingdom
581475,22217,T-LIGHT HOLDER HANGING LACE,12,12/9/2011 8:39,0.39,13069,United Kingdom
573397,47504K,ENGLISH ROSE GARDEN SECATEURS,1,10/30/2011 15:19,0.79,15547,United Kingdom
557801,23209,LUNCH BAG DOILEY PATTERN ,10,6/23/2011 10:14,1.65,13319,United Kingdom
549542,22525,CHILDRENS GARDEN GLOVES PINK,20,4/10/2011 11:11,1.25,15311,United Kingdom
574082,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,2,11/2/2011 16:37,2.95,16205,United Kingdom
577818,22139,RETROSPOT TEA SET CERAMIC 11 PC ,9,11/22/2011 9:18,4.95,13456,United Kingdom
549155,22268,EASTER DECORATION SITTING BUNNY,2,4/6/2011 17:08,1.63,NA,United Kingdom
547515,22726,ALARM CLOCK BAKELIKE GREEN,4,3/23/2011 14:02,3.75,13267,United Kingdom
567656,20676,RED RETROSPOT BOWL,1,9/21/2011 14:40,2.46,14096,United Kingdom
578827,22134,MINI LADLE LOVE HEART RED ,1,11/25/2011 14:25,0.83,NA,United Kingdom
537135,22585,PACK OF 6 BIRDY GIFT TAGS,11,12/5/2010 12:35,1.25,17059,United Kingdom
575176,21948,SET OF 6 CAKE CHOPSTICKS,1,11/8/2011 18:29,2.46,NA,United Kingdom
567866,22951,60 CAKE CASES DOLLY GIRL DESIGN,4,9/22/2011 14:13,0.55,16669,United Kingdom
565840,22979,PANTRY WASHING UP BRUSH,1,9/7/2011 12:02,3.29,NA,United Kingdom
568191,23400,SHELF WITH 4 HOOKS HOME SWEET HOME,2,9/25/2011 14:37,6.25,16655,United Kingdom
570688,17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,1,10/11/2011 16:29,2.46,NA,United Kingdom
559506,22674,FRENCH TOILET SIGN BLUE METAL,1,7/8/2011 15:17,2.46,NA,United Kingdom
577768,23434,3 RAFFIA RIBBONS 50'S CHRISTMAS ,7,11/21/2011 15:18,0.83,NA,United Kingdom
580908,23103,JINGLE BELL HEART DECORATION,1,12/6/2011 13:20,1.65,16495,United Kingdom
579754,23349,ROLL WRAP VINTAGE CHRISTMAS,5,11/30/2011 14:52,1.25,17911,United Kingdom
553935,21084,SET/6 COLLAGE PAPER CUPS,19,5/20/2011 10:32,0.19,15856,United Kingdom
548974,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,4/5/2011 11:47,3.95,15194,United Kingdom
554944,84946,ANTIQUE SILVER T-LIGHT GLASS,72,5/27/2011 14:12,1.06,18073,United Kingdom
561217,22812,PACK 3 BOXES CHRISTMAS PANNETONE,1,7/25/2011 17:09,4.13,NA,United Kingdom
540176,85099F,JUMBO BAG STRAWBERRY,100,1/5/2011 12:40,1.65,17511,United Kingdom
563556,22380,TOY TIDY SPACEBOY  ,5,8/17/2011 13:31,2.1,17706,United Kingdom
576618,22558,CLOTHES PEGS RETROSPOT PACK 24 ,2,11/15/2011 17:00,3.29,NA,United Kingdom
556813,23250,VINTAGE RED TRIM ENAMEL BOWL ,5,6/14/2011 17:28,2.46,NA,United Kingdom
550213,22697,GREEN REGENCY TEACUP AND SAUCER,3,4/15/2011 10:42,5.79,NA,United Kingdom
540154,21219,SET/4 BADGES BALLOON GIRL,1,1/5/2011 11:30,0.85,NA,United Kingdom
570465,22818,CARD CHRISTMAS VILLAGE,3,10/10/2011 16:02,0.42,NA,United Kingdom
559802,22630,DOLLY GIRL LUNCH BOX,1,7/12/2011 13:48,2.46,NA,United Kingdom
580727,84510A,SET OF 4 ENGLISH ROSE COASTERS,1,12/5/2011 17:17,2.46,14096,United Kingdom
575323,23044,PAPER LANTERN 9 POINT HOLLY STAR S,4,11/9/2011 13:37,4.15,15392,United Kingdom
574074,22990,COTTON APRON PANTRY DESIGN,1,11/2/2011 15:33,10.79,NA,United Kingdom
555396,82600,NO SINGING METAL SIGN,12,6/2/2011 17:23,2.1,16529,United Kingdom
577938,23297,SET 40 HEART SHAPE PETIT FOUR CASES,1,11/22/2011 12:07,1.65,15525,United Kingdom
572922,47503A,ASS FLORAL PRINT MULTI SCREWDRIVER,12,10/26/2011 17:00,0.42,17895,United Kingdom
542620,22778,GLASS CLOCHE SMALL,4,1/31/2011 8:56,3.95,13089,United Kingdom
579196,47369B,BLUE GREEN EMBROIDERY COSMETIC BAG,1,11/28/2011 15:54,5.79,14096,United Kingdom
575138,20711,JUMBO BAG TOYS ,4,11/8/2011 15:24,4.13,NA,United Kingdom
558777,23286,BLUE VINTAGE SPOT BEAKER,8,7/4/2011 10:23,1.63,NA,United Kingdom
552281,21986,PACK OF 12 PINK POLKADOT TISSUES,24,5/8/2011 12:42,0.29,15704,United Kingdom
574536,22197,POPCORN HOLDER,2,11/4/2011 14:35,0.85,15707,United Kingdom
564432,22138,BAKING SET 9 PIECE RETROSPOT ,3,8/25/2011 11:40,4.95,13517,United Kingdom
566932,23413,VINTAGE COFFEE GRINDER BOX,1,9/15/2011 15:29,4.95,17576,United Kingdom
572660,84997D,CHILDRENS CUTLERY POLKADOT PINK,1,10/25/2011 12:30,4.15,14527,United Kingdom
565432,84970S,HANGING HEART ZINC T-LIGHT HOLDER,4,9/4/2011 13:16,0.85,16241,United Kingdom
553206,71459,HANGING JAM JAR T-LIGHT HOLDER,96,5/16/2011 8:16,0.72,14156,EIRE
569897,23112,PARISIENNE CURIO CABINET,1,10/6/2011 16:01,7.5,17813,United Kingdom
551531,21243,PINK  POLKADOT PLATE ,12,5/1/2011 13:45,1.69,15376,United Kingdom
558459,21931,JUMBO STORAGE BAG SUKI,1,6/29/2011 14:20,2.08,15334,United Kingdom
568567,20717,STRAWBERRY SHOPPER BAG,1,9/27/2011 18:41,2.46,NA,United Kingdom
560998,21535,RED RETROSPOT SMALL MILK JUG,6,7/22/2011 14:07,2.55,14243,United Kingdom
559679,23052,RECYCLED ACAPULCO MAT TURQUOISE,2,7/11/2011 14:46,8.25,15265,United Kingdom
540530,85099B,JUMBO BAG RED RETROSPOT,10,1/9/2011 14:02,1.95,14755,United Kingdom
543815,22283,6 EGG HOUSE PAINTED WOOD,1,2/13/2011 15:18,7.95,17255,United Kingdom
567374,21930,JUMBO STORAGE BAG SKULLS,100,9/20/2011 9:40,1.79,15341,United Kingdom
541810,22507,MEMO BOARD RETROSPOT  DESIGN,2,1/21/2011 15:00,10.79,NA,United Kingdom
549439,20679,EDWARDIAN PARASOL RED,3,4/8/2011 12:42,5.95,13562,United Kingdom
574258,23221,REINDEER HEART DECORATION SILVER,2,11/3/2011 13:50,0.83,16891,United Kingdom
541522,22829,SWEETHEART WIRE WALL TIDY,2,1/19/2011 9:54,9.95,17419,United Kingdom
567905,48138,DOORMAT UNION FLAG,2,9/22/2011 16:37,8.25,12952,United Kingdom
578519,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,1,11/24/2011 13:56,2.55,14591,United Kingdom
572225,23493,VINTAGE DOILY TRAVEL SEWING KIT,10,10/21/2011 13:50,1.95,13157,United Kingdom
573364,22988,SOLDIERS EGG CUP ,3,10/30/2011 13:09,1.25,14710,United Kingdom
561712,22553,PLASTERS IN TIN SKULLS,1,7/29/2011 11:49,1.65,14499,United Kingdom
565593,23202,JUMBO BAG VINTAGE LEAF,10,9/5/2011 14:07,2.08,17612,United Kingdom
577794,23351,ROLL WRAP 50'S CHRISTMAS,4,11/21/2011 16:48,1.25,14030,United Kingdom
542401,22563,HAPPY STENCIL CRAFT,1,1/27/2011 15:51,1.25,14541,United Kingdom
562772,23241,TREASURE TIN GYMKHANA DESIGN,3,8/9/2011 12:07,2.08,13097,United Kingdom
580066,22423,REGENCY CAKESTAND 3 TIER,3,12/1/2011 13:33,12.75,14309,United Kingdom
